,data,municipio,macroRegiao,regiaoSaude,Confirmado,Em investigação,Óbito,ConfirmadoCum,Em investigaçãoCum,ÓbitoCum,lat,lon
100,2020-03-06,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
101,2020-03-07,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
102,2020-03-08,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
103,2020-03-09,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
104,2020-03-10,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
105,2020-03-11,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
106,2020-03-12,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
107,2020-03-13,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
108,2020-03-14,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
109,2020-03-15,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
110,2020-03-16,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
111,2020-03-17,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
112,2020-03-18,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
113,2020-03-19,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
114,2020-03-20,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
115,2020-03-21,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
116,2020-03-22,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,1.0,0.0,0.0,1.0,0.0,-4.22124,-38.70508
117,2020-03-23,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,1.0,0.0,-4.22124,-38.70508
118,2020-03-24,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,1.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
119,2020-03-25,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
120,2020-03-26,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
121,2020-03-27,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
122,2020-03-28,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
123,2020-03-29,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
124,2020-03-30,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
125,2020-03-31,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
126,2020-04-01,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
127,2020-04-02,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
128,2020-04-03,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
129,2020-04-04,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
130,2020-04-05,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
131,2020-04-06,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,1.0,0.0,-4.22124,-38.70508
132,2020-04-07,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,2.0,0.0,1.0,3.0,0.0,-4.22124,-38.70508
133,2020-04-08,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,3.0,0.0,-4.22124,-38.70508
134,2020-04-09,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,3.0,0.0,-4.22124,-38.70508
135,2020-04-10,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,1.0,0.0,1.0,4.0,0.0,-4.22124,-38.70508
136,2020-04-11,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,4.0,0.0,-4.22124,-38.70508
137,2020-04-12,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,4.0,0.0,-4.22124,-38.70508
138,2020-04-13,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,1.0,4.0,0.0,-4.22124,-38.70508
139,2020-04-14,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,1.0,0.0,1.0,5.0,0.0,-4.22124,-38.70508
140,2020-04-15,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,1.0,0.0,0.0,2.0,5.0,0.0,-4.22124,-38.70508
141,2020-04-16,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,2.0,0.0,2.0,7.0,0.0,-4.22124,-38.70508
142,2020-04-17,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,2.0,7.0,0.0,-4.22124,-38.70508
143,2020-04-18,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,2.0,7.0,0.0,-4.22124,-38.70508
144,2020-02-07,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
145,2020-02-08,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
146,2020-02-09,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
147,2020-02-10,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
148,2020-02-11,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
149,2020-02-12,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
150,2020-02-13,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
151,2020-02-14,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
152,2020-02-15,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
153,2020-02-16,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
154,2020-02-17,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
155,2020-02-18,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
156,2020-02-19,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
157,2020-02-20,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
158,2020-02-21,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
159,2020-02-22,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
160,2020-02-23,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
161,2020-02-24,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
162,2020-02-25,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
163,2020-02-26,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
164,2020-02-27,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
165,2020-02-28,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
166,2020-02-29,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
167,2020-03-01,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
168,2020-03-02,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
169,2020-03-03,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
170,2020-03-04,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
171,2020-03-05,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
172,2020-03-06,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
173,2020-03-07,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
174,2020-03-08,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
175,2020-03-09,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
176,2020-03-10,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
177,2020-03-11,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
178,2020-03-12,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
179,2020-03-13,ACARAU,SOBRAL,12ª REGIÃO ACARAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-2.88469,-40.1187
